/Users/ruoxili/Documents/NRL/rl-starter-files/scripts/train.py --algo ppo --env MiniGrid-DoorKey-5x5-v0 --model DoorKey --save-interval 10 --frames 80000

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-DoorKey-5x5-v0', epochs=4, frames=80000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model='DoorKey', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=10, seed=1, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0970 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.918 | V -0.099 | pL -0.015 | vL 0.001 | ∇ 0.040
U 2 | F 004096 | FPS 0579 | D 5 | rR:μσmM 0.06 0.13 0.00 0.51 | F:μσmM 239.8 27.9 137.0 250.0 | H 1.933 | V -0.066 | pL -0.031 | vL 0.002 | ∇ 0.021
U 3 | F 006144 | FPS 0575 | D 9 | rR:μσmM 0.04 0.10 0.00 0.33 | F:μσmM 242.9 17.0 186.0 250.0 | H 1.931 | V -0.056 | pL -0.014 | vL 0.001 | ∇ 0.011
U 4 | F 008192 | FPS 0615 | D 12 | rR:μσmM 0.02 0.08 0.00 0.33 | F:μσmM 246.0 15.5 186.0 250.0 | H 1.939 | V -0.046 | pL -0.016 | vL 0.000 | ∇ 0.006
U 5 | F 010240 | FPS 0940 | D 14 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.943 | V -0.041 | pL -0.008 | vL 0.000 | ∇ 0.004
U 6 | F 012288 | FPS 0899 | D 17 | rR:μσmM 0.03 0.10 0.00 0.42 | F:μσmM 244.4 21.8 160.0 250.0 | H 1.943 | V -0.028 | pL -0.013 | vL 0.001 | ∇ 0.009
U 7 | F 014336 | FPS 0545 | D 20 | rR:μσmM 0.03 0.10 0.00 0.42 | F:μσmM 244.4 21.8 160.0 250.0 | H 1.943 | V -0.022 | pL -0.004 | vL 0.000 | ∇ 0.004
U 8 | F 016384 | FPS 1129 | D 22 | rR:μσmM 0.04 0.10 0.00 0.31 | F:μσmM 242.9 17.1 191.0 250.0 | H 1.941 | V -0.011 | pL -0.011 | vL 0.000 | ∇ 0.008
U 9 | F 018432 | FPS 1212 | D 24 | rR:μσmM 0.04 0.10 0.00 0.31 | F:μσmM 242.9 17.1 191.0 250.0 | H 1.944 | V -0.007 | pL -0.004 | vL 0.000 | ∇ 0.005
U 10 | F 020480 | FPS 1068 | D 26 | rR:μσmM 0.02 0.08 0.00 0.32 | F:μσmM 246.1 15.0 188.0 250.0 | H 1.942 | V -0.001 | pL -0.003 | vL 0.000 | ∇ 0.006
Status saved
U 11 | F 022528 | FPS 1188 | D 28 | rR:μσmM 0.06 0.17 0.00 0.58 | F:μσmM 236.3 37.2 117.0 250.0 | H 1.935 | V 0.011 | pL -0.009 | vL 0.002 | ∇ 0.031
U 12 | F 024576 | FPS 1196 | D 29 | rR:μσmM 0.09 0.18 0.00 0.58 | F:μσmM 231.0 40.7 117.0 250.0 | H 1.936 | V 0.009 | pL -0.003 | vL 0.001 | ∇ 0.019
U 13 | F 026624 | FPS 1091 | D 31 | rR:μσmM 0.15 0.23 0.00 0.62 | F:μσmM 217.2 50.1 106.0 250.0 | H 1.922 | V 0.021 | pL -0.017 | vL 0.002 | ∇ 0.041
U 14 | F 028672 | FPS 1174 | D 33 | rR:μσmM 0.14 0.26 0.00 0.80 | F:μσmM 217.7 59.9 56.0 250.0 | H 1.929 | V 0.022 | pL -0.010 | vL 0.002 | ∇ 0.036
U 15 | F 030720 | FPS 1162 | D 35 | rR:μσmM 0.22 0.26 0.00 0.61 | F:μσmM 202.0 59.0 107.0 250.0 | H 1.909 | V 0.059 | pL -0.013 | vL 0.004 | ∇ 0.030
U 16 | F 032768 | FPS 1226 | D 36 | rR:μσmM 0.24 0.26 0.00 0.63 | F:μσmM 196.8 60.9 104.0 250.0 | H 1.912 | V 0.043 | pL -0.007 | vL 0.003 | ∇ 0.033
U 17 | F 034816 | FPS 1208 | D 38 | rR:μσmM 0.25 0.26 0.00 0.88 | F:μσmM 196.8 62.0 32.0 250.0 | H 1.914 | V 0.039 | pL -0.015 | vL 0.003 | ∇ 0.027
U 18 | F 036864 | FPS 1160 | D 40 | rR:μσmM 0.22 0.27 0.00 0.88 | F:μσmM 202.6 65.7 32.0 250.0 | H 1.908 | V 0.049 | pL -0.008 | vL 0.004 | ∇ 0.030
